マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金,予測価格,test-predict,ratio[%]
ＪＲ総武線御茶ノ水駅10階建築24年,東京都,千代田区,外神田２,1,1,0,1,0,24,10,4,36,145000,290000,ＪＲ総武線,御茶ノ水駅,4,145000,0,145000,145000,145000,0,0.0
ＪＲ中央線水道橋駅10階建築8年,東京都,千代田区,神田三崎町２,1,0,0,0,0,8,10,6,25,121000,109000,ＪＲ中央線,水道橋駅,2,109000,12000,0,109000,121000,0,0.0
東京メトロ日比谷線小伝馬町駅8階建築24年,東京都,千代田区,岩本町１,3,1,0,1,0,24,8,7,90,278300,542600,東京メトロ日比谷線,小伝馬町駅,4,271300,7000,271300,271300,290000,-11700,4.2
ハイツ神田岩本町,東京都,千代田区,東神田１,1,0,0,0,0,42,11,11,22,70000,128000,ＪＲ総武線快速,馬喰町駅,3,64000,6000,64000,64000,95000,-25000,35.7
パトリア九段下,東京都,千代田区,九段北１,1,0,0,0,0,17,14,2,25,110000,100000,東京メトロ東西線,九段下駅,1,100000,10000,100000,0,110000,0,0.0
マートルコート麹町,東京都,千代田区,九段南３,1,0,0,0,0,40,14,7,37,160000,450000,ＪＲ総武線,市ケ谷駅,8,150000,10000,300000,150000,160000,0,0.0
グレイシス三番町,東京都,千代田区,三番町,1,1,0,1,0,0,9,6,46,235000,440000,東京メトロ有楽町線,市ケ谷駅,7,220000,15000,220000,220000,230000,5000,2.1
ケーズ麹町,東京都,千代田区,麹町１,1,0,0,0,0,18,9,2,32,148000,276000,東京メトロ半蔵門線,半蔵門駅,1,138000,10000,138000,138000,148000,0,0.0
ＪＲ中央線飯田橋駅7階建築44年,東京都,千代田区,富士見２,1,1,0,1,0,44,7,1,44,160000,160000,ＪＲ中央線,飯田橋駅,2,160000,0,160000,0,160000,0,0.0
ハ－スグラ－フ,東京都,千代田区,九段南３,1,0,0,0,0,22,6,2,33,130000,125000,ＪＲ中央線,市ケ谷駅,6,125000,5000,125000,0,114000,16000,12.3
スカイコート神田,東京都,千代田区,岩本町１,1,0,0,0,0,21,12,6,22,91000,39000,東京メトロ日比谷線,小伝馬町駅,3,78000,13000,0,39000,91000,0,0.0
ＪＲ中央線市ケ谷駅地下1地上14階建新築,東京都,千代田区,四番町,1,1,0,1,0,0,14,7,37,300000,600000,ＪＲ中央線,市ケ谷駅,5,300000,0,300000,300000,300000,0,0.0
